,id,description,preproc_description
260,261,"Print paries btm - Styled like a boy short, our Paries Bottoms fit low and straight across the hips, with medium coverage in front and full coverage in back. Lined front. Made from our improved fabric blend of 82% nylon/18% spandex.<br><br><b>Details:</b><ul> <li>Boy-short style</li> <li>Lined front</li> <li>Fits low and straight across hips</li> <li>Updated waist styling</li> <li>Medium coverage in front; full back coverage</li> <li>Improved fabric</li></ul><br><br><b>Fabric: </b>5.6-oz 82% nylon/18% spandex<br><br><b>Weight: </b>(54 g 1.9 oz)<br><br>Made in USA.",print paries btm styled like boy short paries bottom fit low straight across hip medium coverage front full coverage back lined front made improved fabric blend nylon/ spandex.details boy-short style lined front fit low straight across hip updated waist styling medium coverage front full back coverage improved fabricfabric .-oz nylon/ spandexweight g oz made usa
261,262,"Print sunamee btm - Stay-put Sunamees fit straight across the hips, with full coverage in back. Lined front. Made from a formfitting blend of 82% nylon/18% spandex.<br><br><b>Details:</b><ul> <li>Full coverage</li> <li>Lined front</li> <li>Fits straight across hips</li> <li>Regular rise</li> <li>Improved fabric</li></ul><br><br><b>Fabric: </b>5.6-oz 82% nylon/18% spandex<br><br><b>Weight: </b>(43 g 1.5 oz)<br><br>Made in USA.",print sunamee btm stay-put sunamees fit straight across hip full coverage back lined front made formfitting blend nylon/ spandex.details full coverage lined front fit straight across hip regular rise improved fabricfabric .-oz nylon/ spandexweight g oz made usa
262,263,"R1 full-zip jkt - It stretches, breathes, wicks and warms - no wonder so many serious trail and mountain athletes use and abuse our R1. And now it's even more versatile, with a full-zip front making it easier to use for everything from a midlayer in winter to a lightweight jacket on early spring mornings and alpine summer evenings. The high/low interior grid polyester enhances compressibility, airflow, insulation and dry time, and the jersey microfiber face allows smooth layering. Two zippered handwarmer pockets sit above the harness line and have glued-in (no seams) internal mesh pocket bags. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Versatile R1 fleece provides excellent stretch, warmth, wicking and breathability in a variety of temperatures""</li> <li>""High/low interior grid-structure enhances compressibility, airflow and dry time""</li> <li>Jersey microfiber face allows nonbinding layering</li> <li>Center-front zipper</li> <li>Handwarmer pockets</li></ul><br><br><b>Fabric: </b>R1: 6.5-oz Polartec Power Dry 93% polyester (60% recycled)/7% spandex. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>317 g (11.2 oz)<br><br>Made in Colombia.",r full-zip jkt stretch breathes wick warms wonder many serious trail mountain athlete use abuse r. 's even versatile full-zip front making easier use everything midlayer winter lightweight jacket early spring morning alpine summer evening high/low interior grid polyester enhances compressibility airflow insulation dry time jersey microfiber face allows smooth layering two zippered handwarmer pocket sit harness line glued-in seam internal mesh pocket bag recyclable common thread recycling program.details `` versatile r fleece provides excellent stretch warmth wicking breathability variety temperature '' `` high/low interior grid-structure enhances compressibility airflow dry time '' jersey microfiber face allows nonbinding layering center-front zipper handwarmer pocketsfabric r .-oz polartec power dry polyester recycled spandex recyclable common thread recycling programweight g oz made colombia
263,264,"R1 p/o - Here's to trails that circle the globe and to never-ending hand cracks. And here's to staying mobile, comfortable and warm with the R1 Pullover's high/low grid polyester that stretches, breathes, moves moisture, and insulates. Sized to accommodate light underlayers, it works as a stand-alone top or as a light midlayer. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Recycled polyester R1 fabric provides excellent stretch, warmth, wicking and breathability in a variety of temperatures, whether worn as lightweight insulation or a thermal baselayer""</li> <li>Lightweight yarns wick moisture</li> <li>Outer microfiber yarns speed evaporation</li> <li>Interior grid enhances compressibility and airflow</li> <li>""Jersey microfiber face for low-friction, nonbinding layering""</li></ul><br><br><b>Fabric: </b>R1: 6.5-oz Polartec Power Dry 93% polyester (60% recycled)/7% spandex. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>257 g (9.1 oz)<br><br>Made in Colombia.",r p/o 's trail circle globe never-ending hand crack 's staying mobile comfortable warm r pullover 's high/low grid polyester stretch breathes move moisture insulates sized accommodate light underlayers work stand-alone top light midlayer recyclable common thread recycling program.details `` recycled polyester r fabric provides excellent stretch warmth wicking breathability variety temperature whether worn lightweight insulation thermal baselayer '' lightweight yarn wick moisture outer microfiber yarn speed evaporation interior grid enhances compressibility airflow `` jersey microfiber face low-friction nonbinding layering '' fabric r .-oz polartec power dry polyester recycled spandex recyclable common thread recycling programweight g oz made colombia
264,265,"Merino 1 t-shirt - So soft it's worth lingering in, our lightest merino layer is made with 63% merino wool spun around an all-recycled polyester (37%) core. Super-comfortable on its own in warm temperatures or beneath layers in cooler ones, this silky yet highly durable jersey-knit offers great technical performance: naturally resisting odor, moving moisture away from the skin and improving dry times, regulating body temperature, and maintaining a consistent stretch. The neck - with a smooth self-fabric binding - invites ventilation but still covers a bra. We slow-wash our merino for next-to-skin softness. Machine-wash cold; lay flat to dry. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Slow-washed merino wool resists odor naturally, insulates even when wet, is durable, stretches and provides superior performance and softness""</li> <li>16.5 micron-gauge yarn and jersey-knit construction for luxurious hand</li> <li>""All-recycled polyester core wicks moisture, while wool next to skin controls odor""</li> <li>Softly scooped neckline ventilates while still covering bra</li> <li>Self-fabric neck binding for comfort</li> <li>Straight hem</li> <li>""Machine-wash cold, lay flat to dry""</li></ul><br><br><b>Fabric: </b>3.2-oz (108-g) 63% 16.5 micron chlorine-free merino wool/37% all-recycled polyester. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>73 g (2.6 oz)<br><br>Made in USA.",merino t-shirt soft 's worth lingering lightest merino layer made merino wool spun around all-recycled polyester core super-comfortable warm temperature beneath layer cooler one silky yet highly durable jersey-knit offer great technical performance naturally resisting odor moving moisture away skin improving dry time regulating body temperature maintaining consistent stretch neck smooth self-fabric binding invite ventilation still cover bra slow-wash merino next-to-skin softness machine-wash cold lay flat dry recyclable common thread recycling program.details `` slow-washed merino wool resists odor naturally insulates even wet durable stretch provides superior performance softness '' micron-gauge yarn jersey-knit construction luxurious hand `` all-recycled polyester core wick moisture wool next skin control odor '' softly scooped neckline ventilates still covering bra self-fabric neck binding comfort straight hem `` machine-wash cold lay flat dry '' fabric .-oz -g micron chlorine-free merino wool/ all-recycled polyester recyclable common thread recycling programweight g oz made usa
265,266,"Merino 2 bottoms - Thankfully dry and warm when your forward progress is stop-and-go, these lightweight bottoms are made for an active lifestyle in warm to cool weather. Our most versatile merino layer, Merino 2 is made with 73% merino wool spun around an all-recycled polyester (27%) core for a luxurious hand, an improved dry time and enduring strength. Inherently soft and comfortable, merino naturally resists odor, moves moisture away from the skin, regulates body temperature, and stretches. A brushed-elastic waistband and offset inseams stay skin-friendly throughout a full day of active use. We slow-wash our merino for next-to-skin softness. Machine-wash cold; lay flat to dry. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Slow-washed merino wool resists odor naturally, insulates even when wet, is durable and stretches, provides superior performance and softness""</li> <li>18.5 micron-gauge yarn and jersey-knit construction for luxurious hand</li> <li>""All-recycled polyester core wicks moisture, while wool next to skin controls odor""</li> <li>Brushed elastic waistband and offset inseam for next-to-skin comfort</li> <li>""Machine-wash cold, lay flat to dry""</li></ul><br><br><b>Fabric: </b>4.85-oz (165-g) 73% chlorine-free merino wool/27% all-recycled polyester. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(135 g 4.7 oz)<br><br>Made in USA.",merino bottom thankfully dry warm forward progress stop-and-go lightweight bottom made active lifestyle warm cool weather versatile merino layer merino made merino wool spun around all-recycled polyester core luxurious hand improved dry time enduring strength inherently soft comfortable merino naturally resists odor move moisture away skin regulates body temperature stretch brushed-elastic waistband offset inseams stay skin-friendly throughout full day active use slow-wash merino next-to-skin softness machine-wash cold lay flat dry recyclable common thread recycling program.details `` slow-washed merino wool resists odor naturally insulates even wet durable stretch provides superior performance softness '' micron-gauge yarn jersey-knit construction luxurious hand `` all-recycled polyester core wick moisture wool next skin control odor '' brushed elastic waistband offset inseam next-to-skin comfort `` machine-wash cold lay flat dry '' fabric .-oz -g chlorine-free merino wool/ all-recycled polyester recyclable common thread recycling programweight g oz made usa
266,267,"Storm light jkt - An emerging classic, inspired by the original Storm Jacket and holding true to timeless traits: It's waterproof, breathable and comfortable. Built for warm-weather use and engineered to be recycled at the end of its days, the Storm Light keeps you dry and in motion - from lowland treks to high-mountain passes. Full waterproof/breathable protection combines with a hanging mesh and taffeta liner for a soft, pliable, comfortable feel. Storm flaps cover the pit zips, the three external zippered pockets and the center-front 2-way zipper. Other details include a soft chamois chin guard, a 2-way-adjustable hood that rolls down into the microfleece-lined collar, an internal drop-in pocket and a drawcord hem. Cuffs secure with self-fabric tabs. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>2-layer polyester fabric with a waterproof/breathable H2No barrier and a hanging mesh-and-taffeta liner for greater comfort</li> <li>2-way-adjustable and stowable hood</li> <li>Soft chamois chin guard</li> <li>""Storm flaps on center-front zipper, pit zips, and external pocket zippers""</li> <li>""Pockets: two handwarmers with storm flaps; one forearm pocket, one internal drop-in""</li> <li>Cuffs secure with self-fabric tab</li> <li>Drawcord hem</li></ul><br><br><b>Fabric: </b>""Shell: 2-layer, 75-denier 3.8-oz 100% polyester laminate with a waterproof/breathable H2No barrier and Deluge DWR (durable water repellent) finish. Shell lining: 2.9-oz 100% all-recycled polyester mesh. Hood lining: 2.3-oz 50-denier 100%  all-recycled polyester taffeta. Collar lining and chin flap: 5.5-oz 100% polyester brushed jersey. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>(652 g 22.6 oz)<br><br>Made in China.",storm light jkt emerging classic inspired original storm jacket holding true timeless trait 's waterproof breathable comfortable built warm-weather use engineered recycled end day storm light keep dry motion lowland trek high-mountain pass full waterproof/breathable protection combine hanging mesh taffeta liner soft pliable comfortable feel storm flap cover pit zip three external zippered pocket center-front -way zipper detail include soft chamois chin guard -way-adjustable hood roll microfleece-lined collar internal drop-in pocket drawcord hem cuff secure self-fabric tab recyclable common thread recycling program.details -layer polyester fabric waterproof/breathable hno barrier hanging mesh-and-taffeta liner greater comfort -way-adjustable stowable hood soft chamois chin guard `` storm flap center-front zipper pit zip external pocket zipper '' `` pocket two handwarmers storm flap one forearm pocket one internal drop-in '' cuff secure self-fabric tab drawcord hemfabric `` shell -layer -denier .-oz polyester laminate waterproof/breathable hno barrier deluge dwr durable water repellent finish shell lining .-oz all-recycled polyester mesh hood lining .-oz -denier all-recycled polyester taffeta collar lining chin flap .-oz polyester brushed jersey recyclable common thread recycling program '' weight g oz made china
267,268,"Stretch ascent jkt - Simple, stretchy, lightweight and waterproof. Made for alpine climbs where the realities include sideways-blowing sleet, our Stretch Ascent Jacket provides full stormproof protection and extraordinary breathability. The stretch-woven polyester (100% recycled) and waterproof/breathable barrier combine in a pliable 2.5-layer fabric package that enables your most limber moves. The roll-down, helmet-compatible hood adjusts in three ways with an easy-to-use single-pull system. A water-resistant, coated center-front zipper remains easy to open and close, the water-resistant external pocket zippers have zipper garages, and the third pocket is an internal drop-in. Cuffs secure with self-fabric tabs, and the hem's drawcord routes through the pockets. The hood's structured visor improves visibility in poor conditions. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Waterproof/breathable H2No, 2.5-layer stretch-woven shell""</li> <li>""Helmet-compatible, roll-down, single-pull 3-way-adjustable hood with laminated visor""</li> <li>Front zipper offers extreme water resistance and easy zipping</li> <li>""Pockets: two PU-coated zippered handwarmers with zipper garages, one internal drop-in""</li> <li>Cuffs secure with self-fabric hook-and-loop cuff closures</li> <li>Hem drawcord routed through pockets</li></ul><br><br><b>Fabric: </b>""2.5-layer, 50-denier 4.1-oz 100% all-recycled stretch-woven polyester with a waterproof/breathable H2No barrier and Deluge DWR (durable water repellent) finish. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>439 g (15.5 oz)<br><br>Made in Vietnam.",stretch ascent jkt simple stretchy lightweight waterproof made alpine climb reality include sideways-blowing sleet stretch ascent jacket provides full stormproof protection extraordinary breathability stretch-woven polyester recycled waterproof/breathable barrier combine pliable .-layer fabric package enables limber move roll-down helmet-compatible hood adjusts three way easy-to-use single-pull system water-resistant coated center-front zipper remains easy open close water-resistant external pocket zipper zipper garage third pocket internal drop-in cuff secure self-fabric tab hem 's drawcord route pocket hood 's structured visor improves visibility poor condition recyclable common thread recycling program.details `` waterproof/breathable hno .-layer stretch-woven shell '' `` helmet-compatible roll-down single-pull -way-adjustable hood laminated visor '' front zipper offer extreme water resistance easy zipping `` pocket two pu-coated zippered handwarmers zipper garage one internal drop-in '' cuff secure self-fabric hook-and-loop cuff closure hem drawcord routed pocketsfabric `` .-layer -denier .-oz all-recycled stretch-woven polyester waterproof/breathable hno barrier deluge dwr durable water repellent finish recyclable common thread recycling program '' weight g oz made vietnam
268,269,"Merino 2 t-shirt - Our most versatile merino baselayer blends into your daily life like cream into coffee. This lightweight, highly livable tee is made from 73% merino wool spun around an all-recycled (27%) polyester core for a luxurious hand, an improved dry time and enduring strength. Inherently soft and comfortable, merino naturally resists odor, moves moisture away from the skin, regulates body temperature, and stretches. Raglan sleeves merge fluidly with the collar to avoid pack straps; side seams roll backward to eliminate chafing. With self-fabric collar binding for comfort. We slow-wash our merino for next-to-skin softness. Machine-wash cold; lay flat to dry. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Slow-washed merino wool resists odor naturally, insulates even when wet, is durable and stretches, provides superior performance and softness""</li> <li>18.5 micron-gauge yarn and jersey-knit construction for luxurious hand</li> <li>""All-recycled polyester core wicks moisture, while wool next to skin controls odor""</li> <li>Self fabric collar binding for comfort</li> <li>Raglan sleeves merge fluidly with collar out of the way of pack straps</li> <li>Side seams roll to the back to eliminate irritation</li> <li>""Machine-wash cold, lay flat to dry""</li></ul><br><br><b>Fabric: </b>4.85-oz (165-g) 73% chlorine-free merino wool/27% all-recycled polyester. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(103 g 3.6 oz)<br><br>Made in USA.",merino t-shirt versatile merino baselayer blend daily life like cream coffee lightweight highly livable tee made merino wool spun around all-recycled polyester core luxurious hand improved dry time enduring strength inherently soft comfortable merino naturally resists odor move moisture away skin regulates body temperature stretch raglan sleeve merge fluidly collar avoid pack strap side seam roll backward eliminate chafing self-fabric collar binding comfort slow-wash merino next-to-skin softness machine-wash cold lay flat dry recyclable common thread recycling program.details `` slow-washed merino wool resists odor naturally insulates even wet durable stretch provides superior performance softness '' micron-gauge yarn jersey-knit construction luxurious hand `` all-recycled polyester core wick moisture wool next skin control odor '' self fabric collar binding comfort raglan sleeve merge fluidly collar way pack strap side seam roll back eliminate irritation `` machine-wash cold lay flat dry '' fabric .-oz -g chlorine-free merino wool/ all-recycled polyester recyclable common thread recycling programweight g oz made usa
269,270,"Merino 3 pants - These luxuriously soft pants have a silhouette like falling water and move gracefully from yoga to sharing a plate of penne puttanesca. They feature a smooth, double-layer self-fabric waistband that drops at the center-front to reduce bulk, a rear yoke for a flattering fit, and straight legs with forward-rolling side seams. Our go-to full-coverage wool layer, Merino 3 is made with 6.9-oz 100% merino wool that has an extra-fine-gauge yarn for softness and a jersey-knit construction for durability. Merino naturally resists odor, moves moisture away from the skin, regulates body temperature, and stretches to accommodate your every move. We slow-wash ours for next-to-skin softness. Machine-wash cold; lay flat to dry. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Slow-washed merino wool resists odor naturally, insulates even when wet, is exceptionally durable and stretches - providing superior performance  and softness""</li> <li>Fine 18.5 micron gauge yarn and jersey-knit construction for luxurious hand</li> <li>""Double-layer wide self fabric waistband, with internal elastic drops at center front, reduces waist bulk and provides good back coverage""</li> <li>Back yoke for flattering fit</li> <li>Straight leg silhouette</li> <li>Side seams roll to the front</li> <li>""Machine-wash cold, lay flat to dry""</li></ul><br><br><b>Fabric: </b>6.9-oz (230-g) 100% chlorine-free merino wool. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(279 g 9.7 oz)<br><br>Made in USA.",merino pant luxuriously soft pant silhouette like falling water move gracefully yoga sharing plate penne puttanesca feature smooth double-layer self-fabric waistband drop center-front reduce bulk rear yoke flattering fit straight leg forward-rolling side seam go-to full-coverage wool layer merino made .-oz merino wool extra-fine-gauge yarn softness jersey-knit construction durability merino naturally resists odor move moisture away skin regulates body temperature stretch accommodate every move slow-wash next-to-skin softness machine-wash cold lay flat dry recyclable common thread recycling program.details `` slow-washed merino wool resists odor naturally insulates even wet exceptionally durable stretch providing superior performance softness '' fine micron gauge yarn jersey-knit construction luxurious hand `` double-layer wide self fabric waistband internal elastic drop center front reduces waist bulk provides good back coverage '' back yoke flattering fit straight leg silhouette side seam roll front `` machine-wash cold lay flat dry '' fabric .-oz -g chlorine-free merino wool recyclable common thread recycling programweight g oz made usa
270,271,"Morning glory dress - When onshore winds blow out your morning session, pull this irrepressible dress out of your pack and head to town. Made from a skin-soothing jersey knit (86% nylon/14% spandex), the Morning Glory keeps its shape. With an empire waist and back ties for infinite adjustability. Falls below the knee.<br><br><b>Details:</b><ul> <li>""Stretchy, soft, synthetic jersey knit; wicks moisture and dries fast; brushed interior""</li> <li>Halter-style with smooth neckband for comfort and mobility; empire waist; ties in back</li> <li>Below-knee length</li></ul><br><br><b>Fabric: </b>7-oz 86% nylon/14% spandex smooth-faced jersey knit with moisture-wicking performance<br><br><b>Weight: </b>314 g (11.1 oz)<br><br>Made in Colombia.",morning glory dress onshore wind blow morning session pull irrepressible dress pack head town made skin-soothing jersey knit nylon/ spandex morning glory keep shape empire waist back tie infinite adjustability fall knee.details `` stretchy soft synthetic jersey knit wick moisture dry fast brushed interior '' halter-style smooth neckband comfort mobility empire waist tie back below-knee lengthfabric -oz nylon/ spandex smooth-faced jersey knit moisture-wicking performanceweight g oz made colombia
271,272,"Morning glory skirt - You can stand still and win a dance contest in this spirited 3-panel skirt. The soft, stretchy blend (92% nylon/8% spandex) moves on a whim and has a natural, playful drape. Pair it with a tank for a twirl around town or slip it on over yoga tights after class. The self-fabric waistband folds up or down. A flared hem and mid-calf length (28"" from waist to hem, size M) add a feminine silhouette.<br><br><b>Details:</b><ul> <li>""Ultrastretchy, soft, synthetic jersey knit; wicks moisture and dries fast; brushed interior""</li> <li>Self-fabric fold-over waistband rolls up or down; simple pull-on design</li> <li>""Length waist to hem (size M) is 28""""""</li></ul><br><br><b>Fabric: </b>6-oz 92% nylon/8% spandex smooth-faced jersey knit with moisture-wicking performance. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>320 g (11.3 oz)<br><br>Made in Mexico.",morning glory skirt stand still win dance contest spirited -panel skirt soft stretchy blend nylon/ spandex move whim natural playful drape pair tank twirl around town slip yoga tights class self-fabric waistband fold flared hem mid-calf length `` waist hem size add feminine silhouette.details `` ultrastretchy soft synthetic jersey knit wick moisture dry fast brushed interior '' self-fabric fold-over waistband roll simple pull-on design `` length waist hem size `` '' '' fabric -oz nylon/ spandex smooth-faced jersey knit moisture-wicking performance recyclable common thread recycling programweight g oz made mexico
272,273,"Morning glory tights - This everyday essential features a clean-cut design in a stretch knit with excellent shape retention. The soft, substantial nylon blend (86% nylon/14% spandex) flows lightly over skin and dries quickly after a humid hike or passing squall. We've added topstitch detailing and a more contoured fit this season. The wide, low-rise waist provides chafe-free comfort. Inseam (size M) is 32"".<br><br><b>Details:</b><ul> <li>""Substantial, ultra-stretchy and soft synthetic knit with excellent shape retention; wicks moisture and dries fast""</li> <li>""Flattering, wide, flat waistband""</li> <li>""Curved back-yoke detailing and asymmetric side seams, contoured fit through thigh, slight flare at hem""</li> <li>Flat-seam construction is soft against skin</li> <li>Low rise</li> <li>""Inseam (size M) is 32""""""</li></ul><br><br><b>Fabric: </b>7-oz 86% nylon/14% spandex smooth-faced jersey knit with moisture-wicking performance<br><br><b>Weight: </b>(271 g 9.4 oz)<br><br>Made in Colombia.",morning glory tights everyday essential feature clean-cut design stretch knit excellent shape retention soft substantial nylon blend nylon/ spandex flow lightly skin dry quickly humid hike passing squall 've added topstitch detailing contoured fit season wide low-rise waist provides chafe-free comfort inseam size `` .details `` substantial ultra-stretchy soft synthetic knit excellent shape retention wick moisture dry fast '' `` flattering wide flat waistband '' `` curved back-yoke detailing asymmetric side seam contoured fit thigh slight flare hem '' flat-seam construction soft skin low rise `` inseam size `` '' '' fabric -oz nylon/ spandex smooth-faced jersey knit moisture-wicking performanceweight g oz made colombia
273,274,"Torrentshell jkt - Tropical rain forests share at least one thing with the Patagonia Ice Cap: wet weather. For trekking and hiking in drenching conditions, our new Torrentshell provides 2.5-layer waterproof/breathable protection that's durable, lightweight and without frills. The jacket stuffs into one of two zippered handwarmer pockets (and has a clip-in loop); the hood fits snugly over a helmet, rolls down, stows away, and has a laminated visor; and the center zipper has exterior and interior storm flaps. With pit zips for added ventilation, a microfleece-lined neck and chin and a drawcord hem.<br><br><b>Details:</b><ul> <li>2.5-layer fabric with waterproof/breathable H2No barrier and Deluge DWR (durable water repellent) finish; laminated visor</li> <li>2-way-adjustable hood rolls down and stows; microfleece-lined neck and chin for comfort and enhanced protection of barrier</li> <li>Center zipper has exterior and interior storm flaps to keep water out; pit zips with storm flaps and DWR-treated zippers for wet-weather protection</li> <li>Self-fabric hook-and-loop cuff closures</li> <li>Handwarmer pockets</li> <li>Drawcord hem</li> <li>Packs into zippered self-storage pocket</li></ul><br><br><b>Fabric: </b>""2.5-layer, 2.6-oz 50-denier nylon ripstop with a waterproof/breathable H2No barrier and a Deluge DWR finish""<br><br><b>Weight: </b>(314 g 10.9 oz)<br><br>Made in China.",torrentshell jkt tropical rain forest share least one thing patagonia ice cap wet weather trekking hiking drenching condition new torrentshell provides .-layer waterproof/breathable protection 's durable lightweight without frill jacket stuff one two zippered handwarmer pocket clip-in loop hood fit snugly helmet roll stows away laminated visor center zipper exterior interior storm flap pit zip added ventilation microfleece-lined neck chin drawcord hem.details .-layer fabric waterproof/breathable hno barrier deluge dwr durable water repellent finish laminated visor -way-adjustable hood roll stows microfleece-lined neck chin comfort enhanced protection barrier center zipper exterior interior storm flap keep water pit zip storm flap dwr-treated zipper wet-weather protection self-fabric hook-and-loop cuff closure handwarmer pocket drawcord hem pack zippered self-storage pocketfabric `` .-layer .-oz -denier nylon ripstop waterproof/breathable hno barrier deluge dwr finish '' weight g oz made china
274,275,"Torrentshell pants - They're lightweight, waterproof and breathable: Our new Torrentshell Pants keep you singing in the rain when the thunderstorms boom. The simple pull-on style has an elastic drawcorded waistband, articulated knees and three zippered pockets (two handwarmer, one back hip). The zippered lower legs have adjustable hook-and-loop cuffs, and the pants stuff into the back pocket (with carabiner clip-in loop).<br><br><b>Details:</b><ul> <li>2.5-layer fabric with waterproof/breathable H2No barrier and Deluge DWR (durable water repellent) finish</li> <li>Elasticized self-fabric waistband with internal drawcord - pulls on for easy use</li> <li>""Pockets: secure zippered handwarmers, secure zippered back pocket - all with DWR-treated zippers and storm flaps""</li> <li>Articulated knees</li> <li>""Adjustable, self-fabric hook-and-loop closure at ankle with flapped, DWR-treated zipper to the knee""</li> <li>Pants stow in back pocket</li></ul><br><br><b>Fabric: </b>""2.5-layer, 2.6-oz 50-denier 100% nylon ripstop with a waterproof/breathable H2No barrier and a Deluge DWR finish""<br><br><b>Weight: </b>(233 g 8.1 oz)<br><br>Made in China.",torrentshell pant 're lightweight waterproof breathable new torrentshell pant keep singing rain thunderstorm boom simple pull-on style elastic drawcorded waistband articulated knee three zippered pocket two handwarmer one back hip zippered lower leg adjustable hook-and-loop cuff pant stuff back pocket carabiner clip-in loop .details .-layer fabric waterproof/breathable hno barrier deluge dwr durable water repellent finish elasticized self-fabric waistband internal drawcord pull easy use `` pocket secure zippered handwarmers secure zippered back pocket dwr-treated zipper storm flap '' articulated knee `` adjustable self-fabric hook-and-loop closure ankle flapped dwr-treated zipper knee '' pant stow back pocketfabric `` .-layer .-oz -denier nylon ripstop waterproof/breathable hno barrier deluge dwr finish '' weight g oz made china
275,276,"Trampoli t-shirt - Take your commute to higher ground with the Trampoli T-Shirt. Artist Nikki McClure's take on creative transportation is printed on organic cotton (100%) using PVC- and phthalate-free inks. The slightly-shaped tee has an athletic, classic boy fit and features a traditional crew neck. Taped shoulder seams and ringspun fabric yarns lend a soft finish. The lightweight tee is recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(112 g 3.9 oz)<br><br>Made in USA.",trampoli t-shirt take commute higher ground trampoli t-shirt artist nikki mcclure 's take creative transportation printed organic cotton using pvc- phthalate-free ink slightly-shaped tee athletic classic boy fit feature traditional crew neck taped shoulder seam ringspun fabric yarn lend soft finish lightweight tee recyclable common thread recycling program.details ringspun yarn softer hand taped shoulder seam screen-print ink pvc- phthalate-freefabric .-oz organic cotton recyclable common thread recycling programweight g oz made usa
276,277,"Cap 4 zip neck - Keep your furnace stoked when temperatures nose-dive in our warmest synthetic baselayer. Capilene 4 features a smooth jersey face that slips easily beneath layers and an interior grid that traps precious warmth, wicks perspiration, and breathes. Stretchy and compressible, with a snug-fitting collar and a deep zipper with zipper garage and draft flap to help block cold. Raglan sleeves won't chafe beneath pack straps. Made from 5.3-oz Polartec Power Dry 93% polyester (50% recycled)/7% spandex, with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Our warmest baselayer fabric, Capilene 4 offers great stretch, breathability and compressibility""</li> <li>""Interior grid wicks moisture, trims bulk and provides warmth""</li> <li>Smooth jersey face slides easily beneath layers</li> <li>Zip-neck for easy climate control is backed by draft flap and zipper garage</li> <li>Raglan sleeve seams won't chafe beneath straps</li> <li>Drop-tail hem</li></ul><br><br><b>Fabric: </b>""5.3-oz Polartec Power Dry 93% polyester (50% recycled)/7% spandex, with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>(175 g 6.1 oz)<br><br>Made in Costa Rica.",cap zip neck keep furnace stoked temperature nose-dive warmest synthetic baselayer capilene feature smooth jersey face slip easily beneath layer interior grid trap precious warmth wick perspiration breathes stretchy compressible snug-fitting collar deep zipper zipper garage draft flap help block cold raglan sleeve wo n't chafe beneath pack strap made .-oz polartec power dry polyester recycled spandex gladiodor natural odor control garment recyclable common thread recycling program.details `` warmest baselayer fabric capilene offer great stretch breathability compressibility '' `` interior grid wick moisture trim bulk provides warmth '' smooth jersey face slide easily beneath layer zip-neck easy climate control backed draft flap zipper garage raglan sleeve seam wo n't chafe beneath strap drop-tail hemfabric `` .-oz polartec power dry polyester recycled spandex gladiodor natural odor control garment recyclable common thread recycling program '' weight g oz made costa rica
